case:concept:name,simulations,n_match,any_match,all_match
20191012049,10,10,True,True
20191012055,10,6,True,False
20191012056,10,10,True,True
20191012063,10,10,True,True
20191012066,10,10,True,True
20191012071,10,10,True,True
20191012072,10,10,True,True
20191012073,10,10,True,True
20191012077,10,10,True,True
20191012084,10,10,True,True
20191012093,10,10,True,True
20191012095,10,10,True,True
20191012096,10,10,True,True
20191012100,10,10,True,True
20191012107,10,10,True,True
20191012113,10,10,True,True
20191012116,10,10,True,True
20191012117,10,10,True,True
20191012119,10,10,True,True
20191012121,10,10,True,True
20191012125,10,10,True,True
20191012126,10,10,True,True
20191012128,10,10,True,True
20191012131,10,10,True,True
20191012132,10,10,True,True
20191012135,10,10,True,True
20191012136,10,10,True,True
20191012141,10,10,True,True
20191012142,10,10,True,True
20191012148,10,10,True,True
20191012152,10,10,True,True
20191012154,10,10,True,True
20191012157,10,10,True,True
20191012166,10,10,True,True
20191012168,10,10,True,True
20191012175,10,10,True,True
20191012180,10,10,True,True
20191012182,10,10,True,True
20191012184,10,10,True,True
20191012185,10,10,True,True
20191012193,10,10,True,True
20191012195,10,10,True,True
20191012203,10,10,True,True
20191012210,10,10,True,True
20191012216,10,10,True,True
20191012218,10,10,True,True
20191012221,10,9,True,False
20191012225,10,10,True,True
20191012226,10,10,True,True
20191012235,10,10,True,True
20191012251,10,10,True,True
20191012255,10,10,True,True
20191012261,10,10,True,True
20191012263,10,10,True,True
20191012273,10,10,True,True
20191012276,10,10,True,True
20191012283,10,10,True,True
20191012285,10,10,True,True
20191012293,10,10,True,True
20191012294,10,10,True,True
20191012302,10,10,True,True
20191012303,10,10,True,True
20191012305,10,10,True,True
20191012307,10,10,True,True
20191012313,10,10,True,True
20191012315,10,10,True,True
20191012317,10,10,True,True
20191012318,10,10,True,True
20191012326,10,10,True,True
20191012336,10,10,True,True
20191012338,10,10,True,True
20191012341,10,10,True,True
20191012349,10,10,True,True
20191012350,10,10,True,True
20191012354,10,10,True,True
20191012357,10,10,True,True
20191012359,10,10,True,True
20191012361,10,10,True,True
20191012370,10,10,True,True
20191012372,10,10,True,True
20191012378,10,10,True,True
20191012379,10,10,True,True
20191012381,10,5,True,False
20191012385,10,10,True,True
20191012386,10,10,True,True
20191012396,10,10,True,True
20191012400,10,10,True,True
20191012406,10,10,True,True
20191012408,10,10,True,True
20191012419,10,10,True,True
20191012425,10,10,True,True
20191012427,10,10,True,True
20191012428,10,10,True,True
20191012434,10,10,True,True
20191012453,10,10,True,True
20191012456,10,10,True,True
20191012464,10,10,True,True
20191012468,10,10,True,True
20191012473,10,10,True,True
20191012474,10,10,True,True
20191012475,10,10,True,True
20191012476,10,10,True,True
20191012477,10,10,True,True
20191012479,10,10,True,True
20191012482,10,10,True,True
20191012485,10,10,True,True
20191012486,10,10,True,True
20191012487,10,10,True,True
20191012490,10,10,True,True
20191012498,10,10,True,True
20191012510,10,10,True,True
20191012511,10,10,True,True
20191012521,10,10,True,True
20191012522,10,10,True,True
20191012525,10,10,True,True
20191012526,10,10,True,True
20191012527,10,10,True,True
20191012528,10,10,True,True
20191012529,10,10,True,True
20191012530,10,10,True,True
20191012531,10,10,True,True
20191012532,10,10,True,True
20191012533,10,10,True,True
20191012534,10,10,True,True
20191012535,10,10,True,True
20191012536,10,10,True,True
20191012537,10,10,True,True
20191012538,10,10,True,True
20191012539,10,10,True,True
20191012540,10,10,True,True
20191012542,10,10,True,True
20191012547,10,10,True,True
20191012548,10,7,True,False
20191012555,10,7,True,False
20191012560,10,10,True,True
20191012569,10,10,True,True
20191012571,10,10,True,True
