iter	Passed	Remaining
1047	17619	16005
1048	17634	15987
1049	17650	15969
1050	17668	15953
1051	17684	15936
1052	17700	15918
1053	17715	15900
1054	17732	15883
1055	17747	15865
1056	17764	15848
1057	17780	15830
1058	17795	15812
1059	17811	15794
1060	17826	15777
1061	17843	15760
1062	17860	15743
1063	17875	15725
1064	17890	15706
1065	17907	15689
1066	17922	15671
1067	17937	15653
1068	17953	15635
1069	17967	15616
1070	17983	15599
1071	17998	15581
1072	18014	15563
1073	18030	15545
1074	18047	15529
1075	18064	15512
1076	18079	15494
1077	18095	15476
1078	18112	15459
1079	18127	15442
1080	18143	15424
1081	18160	15407
1082	18176	15390
1083	18192	15373
1084	18207	15354
1085	18222	15336
1086	18237	15318
1087	18253	15300
1088	18269	15283
1089	18285	15265
1090	18301	15248
1091	18317	15231
1092	18334	15214
1093	18350	15196
1094	18365	15179
1095	18381	15161
1096	18397	15144
1097	18414	15127
1098	18429	15109
1099	18446	15092
1100	18476	15086
1101	18506	15080
1102	18534	15072
1103	18562	15065
1104	18587	15055
1105	18615	15047
1106	18639	15036
1107	18658	15020
1108	18676	15005
1109	18694	14989
1110	18722	14981
1111	18740	14965
1112	18756	14948
1113	18772	14930
1114	18788	14912
1115	18805	14895
1116	18822	14879
1117	18837	14861
1118	18853	14843
1119	18871	14827
1120	18887	14809
1121	18901	14791
1122	18917	14773
1123	18933	14755
1124	18949	14738
1125	18965	14720
1126	18981	14703
1127	18997	14685
1128	19012	14668
1129	19029	14650
1130	19044	14633
1131	19060	14615
1132	19075	14597
1133	19092	14580
1134	19110	14564
1135	19126	14546
1136	19141	14528
1137	19156	14510
1138	19173	14493
1139	19189	14476
1140	19205	14458
1141	19221	14441
1142	19236	14423
1143	19253	14406
1144	19271	14390
1145	19286	14372
1146	19302	14354
1147	19317	14336
1148	19333	14319
1149	19349	14301
1150	19365	14284
1151	19380	14266
1152	19397	14249
1153	19413	14232
1154	19428	14213
1155	19443	14195
1156	19459	14178
1157	19474	14160
1158	19490	14142
1159	19506	14125
1160	19521	14107
1161	19537	14089
1162	19552	14071
1163	19567	14053
1164	19582	14035
1165	19598	14018
1166	19614	14000
1167	19629	13982
1168	19645	13965
1169	19665	13950
1170	19683	13934
1171	19698	13916
1172	19715	13899
1173	19730	13882
1174	19746	13864
1175	19763	13847
1176	19779	13830
1177	19795	13813
1178	19812	13796
1179	19829	13780
1180	19846	13763
1181	19863	13746
1182	19881	13730
1183	19897	13713
1184	19915	13696
1185	19931	13680
1186	19948	13662
1187	19964	13645
1188	19982	13630
1189	20000	13613
1190	20017	13596
1191	20035	13581
1192	20055	13566
1193	20074	13550
1194	20091	13534
1195	20109	13518
1196	20126	13501
1197	20144	13485
1198	20161	13469
1199	20179	13452
1200	20196	13436
1201	20213	13419
1202	20230	13403
1203	20247	13386
1204	20265	13370
1205	20283	13354
1206	20300	13337
1207	20318	13321
1208	20335	13304
1209	20353	13288
1210	20369	13271
1211	20387	13255
1212	20404	13238
1213	20422	13222
1214	20439	13205
1215	20458	13190
1216	20476	13174
1217	20494	13157
1218	20512	13141
1219	20529	13125
1220	20547	13109
1221	20565	13092
1222	20582	13076
1223	20599	13059
1224	20616	13042
1225	20632	13025
1226	20650	13009
1227	20670	12994
1228	20690	12980
1229	20711	12965
1230	20753	12964
1231	20784	12956
1232	20811	12946
1233	20841	12937
1234	20873	12929
1235	20898	12917
1236	20920	12904
1237	20942	12890
1238	20962	12875
1239	20983	12860
1240	21004	12846
1241	21022	12830
1242	21040	12813
1243	21057	12797
1244	21075	12780
1245	21094	12764
1246	21112	12748
1247	21129	12732
1248	21147	12715
1249	21163	12698
1250	21181	12682
1251	21199	12665
1252	21216	12648
1253	21234	12632
1254	21253	12616
1255	21271	12600
1256	21289	12583
1257	21305	12566
1258	21323	12550
1259	21340	12533
1260	21358	12517
1261	21376	12500
1262	21395	12484
1263	21412	12468
1264	21430	12451
1265	21448	12435
1266	21465	12418
1267	21482	12401
1268	21500	12385
1269	21518	12368
1270	21535	12352
1271	21552	12335
1272	21569	12318
1273	21586	12301
1274	21604	12284
1275	21621	12268
1276	21640	12252
1277	21659	12236
1278	21677	12220
1279	21695	12203
1280	21713	12187
1281	21730	12170
1282	21748	12154
1283	21766	12137
1284	21784	12121
1285	21803	12105
1286	21823	12090
1287	21841	12073
1288	21858	12057
1289	21876	12040
1290	21894	12024
1291	21912	12007
1292	21930	11991
1293	21947	11974
1294	21965	11958
1295	21982	11941
1296	22000	11924
1297	22019	11908
1298	22037	11892
1299	22056	11876
1300	22073	11859
1301	22090	11842
1302	22107	11825
1303	22125	11809
1304	22144	11793
1305	22161	11776
1306	22179	11760
1307	22197	11743
1308	22214	11726
1309	22231	11709
1310	22249	11693
1311	22266	11676
1312	22284	11659
1313	22301	11643
1314	22319	11626
1315	22336	11609
1316	22353	11592
1317	22370	11575
1318	22388	11559
1319	22405	11542
1320	22423	11525
1321	22442	11509
1322	22459	11492
1323	22476	11475
1324	22494	11459
1325	22511	11442
1326	22528	11425
1327	22546	11408
1328	22563	11392
1329	22581	11375
1330	22599	11359
1331	22616	11342
1332	22633	11325
1333	22651	11308
1334	22668	11291
1335	22685	11274
1336	22702	11257
1337	22719	11241
1338	22736	11223
1339	22754	11207
1340	22771	11190
1341	22788	11173
1342	22806	11156
1343	22824	11140
1344	22844	11125
1345	22866	11110
1346	22887	11095
1347	22907	11080
1348	22926	11063
1349	22945	11047
1350	22963	11031
1351	22981	11014
1352	23001	10999
1353	23033	10989
1354	23064	10978
1355	23093	10967
1356	23120	10955
1357	23147	10943
1358	23175	10931
1359	23196	10915
1360	23221	10902
1361	23241	10886
1362	23262	10871
1363	23284	10856
1364	23302	10840
1365	23321	10823
1366	23339	10807
1367	23358	10791
1368	23376	10774
1369	23394	10758
1370	23412	10741
1371	23430	10724
1372	23449	10708
1373	23468	10692
1374	23486	10675
1375	23504	10658
1376	23521	10642
1377	23540	10625
1378	23557	10608
1379	23575	10591
1380	23593	10575
1381	23612	10558
1382	23631	10542
1383	23648	10525
1384	23666	10508
1385	23684	10492
1386	23702	10475
1387	23720	10458
1388	23738	10442
1389	23756	10425
1390	23773	10408
1391	23790	10391
1392	23806	10373
1393	23824	10357
1394	23842	10340
1395	23859	10323
1396	23876	10306
1397	23895	10289
1398	23914	10273
1399	23932	10256
1400	23950	10239
1401	23968	10223
1402	23986	10206
1403	24004	10189
1404	24022	10173
1405	24039	10155
1406	24056	10139
1407	24075	10122
1408	24093	10105
1409	24111	10089
1410	24128	10072
1411	24144	10054
1412	24161	10037
1413	24178	10020
1414	24195	10003
1415	24212	9985
1416	24229	9968
1417	24246	9951
1418	24264	9935
1419	24282	9918
1420	24300	9901
1421	24317	9884
1422	24334	9867
1423	24351	9850
1424	24369	9833
1425	24387	9816
1426	24406	9800
1427	24426	9784
1428	24443	9767
1429	24461	9750
1430	24479	9733
1431	24497	9716
1432	24515	9700
1433	24545	9687
1434	24562	9671
1435	24579	9653
1436	24596	9636
1437	24614	9619
1438	24630	9602
1439	24649	9585
1440	24666	9568
1441	24683	9551
1442	24701	9534
1443	24718	9517
1444	24734	9500
1445	24751	9482
1446	24768	9465
1447	24787	9449
1448	24807	9433
1449	24823	9415
1450	24841	9398
1451	24858	9381
1452	24875	9364
1453	24893	9348
1454	24912	9331
1455	24929	9314
1456	24949	9298
1457	24969	9282
1458	24988	9265
1459	25006	9248
1460	25023	9231
1461	25044	9216
1462	25068	9201
1463	25088	9185
1464	25107	9169
1465	25125	9152
1466	25143	9135
1467	25160	9118
1468	25179	9101
1469	25198	9085
1470	25218	9069
1471	25236	9052
1472	25254	9035
1473	25284	9022
1474	25314	9010
1475	25341	8996
1476	25373	8984
1477	25401	8971
1478	25429	8958
1479	25453	8942
1480	25474	8927
1481	25496	8911
1482	25517	8895
1483	25539	8880
1484	25560	8864
1485	25580	8848
1486	25601	8832
1487	25619	8815
1488	25638	8798
1489	25656	8781
1490	25674	8764
1491	25693	8748
1492	25711	8731
1493	25729	8714
1494	25748	8697
1495	25766	8680
1496	25783	8663
1497	25801	8646
1498	25819	8629
1499	25839	8613
1500	25859	8596
1501	25879	8580
1502	25897	8563
1503	25916	8546
1504	25933	8529
1505	25953	8513
1506	25972	8496
1507	25996	8481
1508	26016	8465
1509	26033	8448
1510	26051	8431
1511	26069	8413
1512	26087	8396
1513	26104	8379
1514	26122	8362
1515	26139	8345
1516	26156	8328
1517	26173	8310
1518	26191	8293
1519	26209	8276
1520	26227	8259
1521	26246	8242
1522	26263	8225
1523	26280	8208
1524	26297	8190
1525	26314	8173
1526	26331	8156
1527	26348	8139
1528	26366	8121
1529	26384	8105
1530	26401	8087
1531	26419	8070
1532	26437	8053
1533	26454	8036
1534	26472	8019
1535	26490	8002
1536	26507	7985
1537	26526	7968
1538	26542	7950
1539	26560	7933
1540	26578	7916
1541	26596	7899
1542	26614	7882
1543	26633	7865
1544	26651	7848
1545	26669	7831
1546	26686	7814
1547	26704	7797
1548	26721	7780
1549	26739	7763
1550	26757	7746
1551	26779	7730
1552	26798	7713
1553	26816	7696
1554	26834	7679
1555	26852	7662
1556	26871	7645
1557	26889	7628
1558	26905	7610
1559	26925	7594
1560	26947	7578
1561	26967	7561
1562	26990	7546
1563	27010	7529
1564	27040	7515
1565	27067	7501
1566	27089	7485
1567	27110	7469
1568	27129	7452
1569	27146	7434
1570	27165	7418
1571	27185	7401
1572	27204	7384
1573	27224	7368
1574	27246	7352
1575	27264	7335
1576	27284	7318
1577	27303	7301
1578	27321	7284
1579	27338	7267
1580	27356	7250
1581	27373	7232
1582	27391	7215
1583	27409	7198
1584	27426	7181
1585	27443	7163
1586	27460	7146
1587	27478	7129
1588	27496	7112
1589	27514	7095
1590	27533	7078
1591	27564	7064
1592	27595	7050
1593	27622	7035
1594	27649	7020
1595	27678	7006
1596	27708	6992
1597	27729	6975
1598	27748	6958
1599	27769	6942
1600	27792	6926
1601	27814	6910
1602	27832	6892
1603	27849	6875
1604	27866	6858
1605	27882	6840
1606	27899	6823
1607	27917	6805
1608	27934	6788
1609	27953	6771
1610	27971	6754
1611	27989	6737
1612	28007	6719
1613	28026	6702
1614	28043	6685
1615	28063	6668
1616	28080	6651
1617	28100	6634
1618	28121	6617
1619	28140	6600
1620	28157	6583
1621	28174	6566
1622	28193	6548
1623	28212	6531
1624	28230	6514
1625	28248	6497
1626	28265	6479
1627	28282	6462
1628	28300	6445
1629	28317	6427
1630	28335	6410
1631	28353	6393
1632	28371	6376
1633	28388	6358
1634	28406	6341
1635	28424	6324
1636	28442	6307
1637	28460	6289
1638	28478	6272
1639	28496	6255
1640	28514	6238
1641	28533	6220
1642	28555	6204
1643	28575	6187
1644	28596	6171
1645	28618	6154
1646	28638	6137
1647	28655	6120
1648	28673	6103
1649	28691	6086
1650	28709	6068
1651	28726	6051
1652	28744	6034
1653	28765	6017
1654	28783	6000
1655	28800	5982
1656	28818	5965
1657	28836	5948
1658	28855	5931
1659	28874	5913
1660	28891	5896
1661	28908	5879
1662	28926	5861
1663	28943	5844
1664	28961	5827
