case_id,n_valid_pairs,method,pop_size,n_generations,time_s,hv_ratio,igd,n_front_points
202935,310,nsga2,10.0,3.0,0.09914565086364746,0.7424062428236878,0.0358632268162009,3
202935,310,nsga2,10.0,5.0,0.1423015594482422,0.7938031127171129,0.006007168612578818,5
202935,310,nsga2,10.0,7.0,0.21010565757751465,0.793886580802384,0.005187918317207593,5
202935,310,nsga2,10.0,10.0,0.36157679557800293,0.793886580802384,0.005187918317207593,5
202935,310,nsga2,20.0,3.0,0.1352386474609375,0.7630874564327584,0.02874374003541626,4
202935,310,nsga2,20.0,5.0,0.18891620635986328,1.0,0.0,4
202935,310,nsga2,20.0,7.0,0.25298452377319336,1.0,0.0,4
202935,310,nsga2,20.0,10.0,0.3496882915496826,1.0,0.0,4
202935,310,nsga2,30.0,3.0,0.10378575325012207,1.0,0.0,4
202935,310,nsga2,30.0,5.0,0.18692684173583984,1.0,0.0,4
202935,310,nsga2,30.0,7.0,0.26430344581604004,1.0,0.0,4
202935,310,nsga2,30.0,10.0,0.37935805320739746,1.0,0.0,4
202935,310,nsga2,50.0,3.0,0.12724876403808594,0.9099282178235482,0.0019427170866115758,5
202935,310,nsga2,50.0,5.0,0.26376891136169434,1.0,0.0,4
202935,310,nsga2,50.0,7.0,0.3744816780090332,1.0,0.0,4
202935,310,nsga2,50.0,10.0,0.4678001403808594,1.0,0.0,4
203780,310,exhaustive,,,0.02568340301513672,1.0,0.0,4
203780,310,nsga2,10.0,3.0,0.09562039375305176,0.9474926113912584,0.036323328329604436,3
203780,310,nsga2,10.0,5.0,0.14267754554748535,0.9475034791620951,0.003935588181754612,4
203780,310,nsga2,10.0,7.0,0.22417020797729492,0.9859073557892144,0.0016512476564923913,4
203780,310,nsga2,10.0,10.0,0.3009214401245117,0.9859073557892144,0.0016512476564923913,4
203780,310,nsga2,20.0,3.0,0.11267805099487305,0.9491124406406761,0.009192339270669831,4
203780,310,nsga2,20.0,5.0,0.17739558219909668,0.9859073557892144,0.0016512476564923913,4
203780,310,nsga2,20.0,7.0,0.2410731315612793,1.0,0.0,4
203780,310,nsga2,20.0,10.0,0.4892008304595947,1.0,0.0,4
203780,310,nsga2,30.0,3.0,0.10391712188720703,0.8626894653759342,0.024837942697405035,4
203780,310,nsga2,30.0,5.0,0.1925792694091797,1.0,0.0,4
203780,310,nsga2,30.0,7.0,0.29877400398254395,1.0,0.0,4
203780,310,nsga2,30.0,10.0,0.40212440490722656,1.0,0.0,4
203780,310,nsga2,50.0,3.0,0.11191678047180176,1.0,0.0,4
203780,310,nsga2,50.0,5.0,0.23545002937316895,1.0,0.0,4
203780,310,nsga2,50.0,7.0,0.3561086654663086,1.0,0.0,4
203780,310,nsga2,50.0,10.0,0.6019694805145264,1.0,0.0,4
204724,310,exhaustive,,,0.04826927185058594,1.0,0.0,4
204724,310,nsga2,10.0,3.0,0.08375859260559082,0.8513437959118062,0.2849212278462697,2
204724,310,nsga2,10.0,5.0,0.15196013450622559,0.8513437959118062,0.2849212278462697,2
204724,310,nsga2,10.0,7.0,0.22181296348571777,0.8513437959118062,0.2849212278462697,2
204724,310,nsga2,10.0,10.0,0.31049060821533203,0.8583137541390751,0.2799793868528076,2
204724,310,nsga2,20.0,3.0,0.0949254035949707,0.8532676175279795,0.03963296795186981,3
204724,310,nsga2,20.0,5.0,0.17324256896972656,0.9042345469161378,0.024152610953858157,4
204724,310,nsga2,20.0,7.0,0.2503790855407715,1.0,0.0,4
204724,310,nsga2,20.0,10.0,0.35542845726013184,1.0,0.0,4
204724,310,nsga2,30.0,3.0,0.1016535758972168,0.9628599279414497,0.018455881440515007,3
204724,310,nsga2,30.0,5.0,0.2879934310913086,1.0,0.0,4
204724,310,nsga2,30.0,7.0,0.30458974838256836,1.0,0.0,4
204724,310,nsga2,30.0,10.0,0.41446352005004883,1.0,0.0,4
204724,310,nsga2,50.0,3.0,0.11644291877746582,0.9999998833360728,0.003649532114473451,3
204724,310,nsga2,50.0,5.0,0.21982932090759277,1.0,0.0,4
204724,310,nsga2,50.0,7.0,0.3290736675262451,1.0,0.0,4
204724,310,nsga2,50.0,10.0,0.46886444091796875,1.0,0.0,4
205791,310,exhaustive,,,0.04900360107421875,1.0,0.0,6
205791,310,nsga2,10.0,3.0,0.08062148094177246,0.7381928310167142,0.2941895555329768,2
205791,310,nsga2,10.0,5.0,0.2238473892211914,0.8957623294385788,0.24214440801212722,3
205791,310,nsga2,10.0,7.0,0.25992679595947266,0.8957623294385788,0.24214440801212722,3
205791,310,nsga2,10.0,10.0,0.3387930393218994,0.8957623294385788,0.24214440801212722,3
205791,310,nsga2,20.0,3.0,0.09456682205200195,0.7685845275507349,0.018792527259627802,4
205791,310,nsga2,20.0,5.0,0.17396926879882812,0.9255736380103148,0.0053320070536087985,5
205791,310,nsga2,20.0,7.0,0.28103065490722656,0.9255736380103148,0.0053320070536087985,5
205791,310,nsga2,20.0,10.0,0.3594822883605957,0.9655693469038563,0.0021094951518466462,5
205791,310,nsga2,30.0,3.0,0.09433817863464355,0.8359223187973616,0.0155265816141927,3
205791,310,nsga2,30.0,5.0,0.19605255126953125,0.8368565324345331,0.01140885016269716,6
205791,310,nsga2,30.0,7.0,0.26320338249206543,0.994418187166661,0.0021094951518466462,6
205791,310,nsga2,30.0,10.0,0.5419702529907227,1.0,0.0,6
205791,310,nsga2,50.0,3.0,0.12312746047973633,0.7411550702315098,0.0629559872230488,4
205791,310,nsga2,50.0,5.0,0.2299942970275879,0.8424383068650791,0.011703338537192728,5
205791,310,nsga2,50.0,7.0,0.3485732078552246,1.0,0.0,6
205791,310,nsga2,50.0,10.0,0.505206823348999,1.0,0.0,6
206222,310,exhaustive,,,0.0270230770111084,1.0,0.0,9
206222,310,nsga2,10.0,3.0,0.09650564193725586,0.5334549589141825,0.09269115545287333,3
206222,310,nsga2,10.0,5.0,0.1666266918182373,0.5336205249677696,0.092206884859857,3
206222,310,nsga2,10.0,7.0,0.21825861930847168,0.5539714318433533,0.08501199895978771,3
206222,310,nsga2,10.0,10.0,0.43258213996887207,0.5539714318433533,0.08501199895978771,3
206222,310,nsga2,20.0,3.0,0.1146383285522461,0.5819759729022608,0.04952045865605093,4
206222,310,nsga2,20.0,5.0,0.1901717185974121,0.6324958598790025,0.04427665651507805,6
206222,310,nsga2,20.0,7.0,0.24354839324951172,0.6324958598790025,0.04427665651507805,6
206222,310,nsga2,20.0,10.0,0.3718912601470947,0.6324958598790025,0.04427665651507805,6
206222,310,nsga2,30.0,3.0,0.0902559757232666,0.853564052670006,0.041018558244914564,5
206222,310,nsga2,30.0,5.0,0.18547701835632324,0.9381810706996822,0.006429384891465743,7
206222,310,nsga2,30.0,7.0,0.2587268352508545,0.9887007571983983,0.0016201615794035659,8
206222,310,nsga2,30.0,10.0,0.38783812522888184,0.9887007571983983,0.0016201615794035659,8
206222,310,nsga2,50.0,3.0,0.15258193016052246,0.9029168916047922,0.009062636422750337,6
206222,310,nsga2,50.0,5.0,0.3053297996520996,0.9887007571983983,0.0016201615794035659,8
206222,310,nsga2,50.0,7.0,0.37320494651794434,0.9887007571983983,0.0016201615794035659,8
206222,310,nsga2,50.0,10.0,0.5017313957214355,1.0,0.0,9
206642,310,exhaustive,,,0.027440786361694336,1.0,0.0,5
206642,310,nsga2,10.0,3.0,0.08144831657409668,0.7227977647477454,0.2804109507424386,2
206642,310,nsga2,10.0,5.0,0.16376709938049316,0.7227977647477454,0.2804109507424386,2
206642,310,nsga2,10.0,7.0,0.2079000473022461,0.7855240956182626,0.2217400850659068,2
206642,310,nsga2,10.0,10.0,0.3024775981903076,0.7855240956182626,0.2217400850659068,2
206642,310,nsga2,20.0,3.0,0.12248682975769043,0.6863531915736361,0.08439652220933484,3
206642,310,nsga2,20.0,5.0,0.21986746788024902,0.800406503823939,0.06851463319702301,4
206642,310,nsga2,20.0,7.0,0.34508442878723145,0.9462142394901646,0.01817713573870878,4
206642,310,nsga2,20.0,10.0,0.38089513778686523,1.0,0.0,5
206642,310,nsga2,30.0,3.0,0.09229516983032227,0.9462142394901646,0.01817713573870878,4
206642,310,nsga2,30.0,5.0,0.1889193058013916,0.9462142394901646,0.01817713573870878,4
206642,310,nsga2,30.0,7.0,0.25023818016052246,0.9462142394901646,0.01817713573870878,4
206642,310,nsga2,30.0,10.0,0.3976404666900635,1.0,0.0,5
206642,310,nsga2,50.0,3.0,0.12624096870422363,0.9462142394901646,0.01817713573870878,4
206642,310,nsga2,50.0,5.0,0.23030662536621094,1.0,0.0,5
206642,310,nsga2,50.0,7.0,0.4306964874267578,1.0,0.0,5
206642,310,nsga2,50.0,10.0,0.5551908016204834,1.0,0.0,5
207116,310,exhaustive,,,0.020067453384399414,1.0,0.0,6
207116,310,nsga2,10.0,3.0,0.08106160163879395,0.16569853703037454,0.11419802623344859,3
207116,310,nsga2,10.0,5.0,0.14503121376037598,0.49810590558901013,0.11012288669286337,4
207116,310,nsga2,10.0,7.0,0.23886728286743164,0.4610164147096327,0.06583850073810461,3
207116,310,nsga2,10.0,10.0,0.319547176361084,0.7000983086288198,0.05737205375287293,4
207116,310,nsga2,20.0,3.0,0.08686661720275879,0.3710775388707338,0.06388686147183505,5
207116,310,nsga2,20.0,5.0,0.1589505672454834,0.49443825799330443,0.060034558610667005,6
207116,310,nsga2,20.0,7.0,0.22533392906188965,0.3798734424473045,0.048889999563644516,7
207116,310,nsga2,20.0,10.0,0.3880918025970459,0.3798748080140664,0.04611517218479446,8
207116,310,nsga2,30.0,3.0,0.12369632720947266,0.7964691895230772,0.016839798256458982,6
207116,310,nsga2,30.0,5.0,0.20855474472045898,0.9042466858023877,0.010100869260526071,6
207116,310,nsga2,30.0,7.0,0.2780947685241699,0.9042466858023877,0.010100869260526071,6
207116,310,nsga2,30.0,10.0,0.37531590461730957,0.9042466858023877,0.010100869260526071,6
207116,310,nsga2,50.0,3.0,0.12767648696899414,1.0,0.0,6
207116,310,nsga2,50.0,5.0,0.22222208976745605,1.0,0.0,6
207116,310,nsga2,50.0,7.0,0.34476542472839355,1.0,0.0,6
207116,310,nsga2,50.0,10.0,0.5827298164367676,1.0,0.0,6
207518,310,exhaustive,,,0.053170204162597656,1.0,0.0,6
